Name of Facebook Group,Group URL,Number of followers (nearest 1000)
AHSGR Denver Chapter American Historical Society of Germans From Russia,"http://www.facebook.com/groups/400137373414212
",0.0
Remembering Elitch Gardens. 1890 to Present.,"http://www.facebook.com/groups/335432079954644
",4100.0
Pikes Peak Genealogical Society,"http://www.facebook.com/groups/PikesPeakGS
",0.0
Explorers of the Southwest,"http://www.facebook.com/groups/1676770169300592
",3700.0
Friends of Canon City Family History Center,"http://www.facebook.com/groups/canoncityfamilyhistorycenter
",0.0
Jewish Genealogy Society of Colorado  JGSCO,"http://www.facebook.com/groups/32312422287
",0.0
"Animas Valley and the San Juan Mountains (History, Photos and Memories)","http://www.facebook.com/groups/1017594494921848
",9900.0
Old Spanish and Mexican Land Grants in New Mexico and Southern Colorado,"http://www.facebook.com/groups/1423667424530005
",2500.0
Old West History Consortium,"http://www.facebook.com/groups/OldWestHistoryConsortium
",2000.0
"OLD WEST LEGENDS,Outlaws, Gunfighters, Lawmen .","http://www.facebook.com/groups/204190439914193
",40400.0
Fray Angelico Chavez Chapter - Genealogical Society of Hispanic America,"http://www.facebook.com/groups/1866119910341027
",1100.0
The Rearchers of the Old Wild West,"http://www.facebook.com/groups/711072169663110
",0.0
"Animas Valley and the San Juan Mountains (History, Photos and Memories)","http://www.facebook.com/groups/1017594494921848
",9900.0
"Weld County, Colorado Genealogy","http://www.facebook.com/groups/coweld
",0.0
"BEST Genealogy Sites, Northeast","http://www.facebook.com/groups/1008994262515396
",0.0
Connecticut Chapter of the VGA,"http://www.facebook.com/groups/vga.connecticut
",0.0
Connecticut Genealogy! Just Ask!,"http://www.facebook.com/groups/ConnecticutGenealogyJustAsk
",1300.0
Connecticut Genealogy Network,"http://www.facebook.com/groups/106374389457465
",3100.0
Descendants of Connecticut Founding Families,"http://www.facebook.com/groups/CTFoundingFamilies
",2800.0
Early New England Families after the Great Migration (1641 -1700),"http://www.facebook.com/groups/818333918223475
",1700.0
"Images of Greenwich, CT","http://www.facebook.com/groups/imagesofgreenwich
",9900.0
Fairfield County Genealogy,"http://www.facebook.com/groups/11614504115
",0.0
Middlesex Genealogical Society of Connecticut,"http://www.facebook.com/groups/mgsdarien/
",0.0
Friends of Old North Cemetery,"http://www.facebook.com/groups/142978705725279
",0.0
OLD HARTFORD,"http://www.facebook.com/groups/249007431880641
",15000.0
HARTFORD County Connecticut Genealogy,"http://www.facebook.com/groups/1648712358678268
",0.0
Barkhamsted Lighthouse Village,"http://www.facebook.com/groups/BarkhamstedLighthouse
",0.0
"Haddam, Connecticut Genealogy","http://www.facebook.com/groups/720383078065927
",0.0
Society of Middletown First Settlers Descendants,"http://www.facebook.com/groups/SMFSD
",0.0
MIDDLESEX County Connecticut Genealogy,"http://www.facebook.com/groups/674915775970288
",0.0
Acadian & French-Canadian Genealogy & History,"http://www.facebook.com/groups/AcadianFrenchCanadianGenealogy
",5700.0
NEAPG New England Chapter of the Association of Professional Genealogists,"http://www.facebook.com/groups/71106899553
",0.0
